Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	condition	fly_section_ID	fly_ID	section_ID
24E_F3_2_FITC.tif	PathAnnotationObject		Image	Polygon	383.65	360.84	87	87	100	366.05	237669.9	1998.3	Fed	1_2	1	2
76B_1_FITC.tif	PathAnnotationObject		Image	Polygon	404.4	297.69	115	115	100	723.23	159008.5	1629.7	Starved	76_7	76	7
84D_2_FITC.tif	PathAnnotationObject		Image	Polygon	425.58	306.4	30	30	100	204.23	146890.4	1547.7	Starved	84_17	84	17
86D_3_FITC.tif	PathAnnotationObject		Image	Polygon	431.44	318.57	87	87	100	553.93	157060.0	1624.2	Starved	86_18	86	18
86D_4_FITC.tif	PathAnnotationObject		Image	Polygon	426.46	328.86	91	91	100	602.37	151070.0	1621.3	Starved	86_19	86	19
72C_5_FITC.tif	PathAnnotationObject		Image	Polygon	412.65	318.85	117	117	100	438.76	266658.4	2083.3	Fed	72_15	72	15
72C_4_FITC.tif	PathAnnotationObject		Image	Polygon	451.95	326.52	61	61	100	256.14	238151.4	1913.7	Fed	72_14	72	14
73D_2_FITC.tif	PathAnnotationObject		Image	Polygon	408.02	301.42	55	55	100	265.77	206942.7	1824.7	Fed	73_17	73	17
73D_1_FITC.tif	PathAnnotationObject		Image	Polygon	460.9	323.27	52	52	100	225.2	230906.1	1892.8	Fed	73_16	73	16
90C_3_FITC.tif	PathAnnotationObject		Image	Polygon	412.88	321.63	23	23	100	114.64	200630.0	1901.7	Starved	90_13	90	13
90C_2_FITC.tif	PathAnnotationObject		Image	Polygon	418.32	288.07	31	31	100	148.55	208682.1	1864.8	Starved	90_12	90	12
85F_1_FITC.tif	PathAnnotationObject		Image	Polygon	440.72	295.42	59	59	100	460.39	128153.3	1445.3	Starved	85_26	85	26
85F_2_FITC.tif	PathAnnotationObject		Image	Polygon	442.45	274.02	81	81	100	501.83	161408.2	1582.3	Starved	85_27	85	27
24E_F2_4_FITC.tif	PathAnnotationObject		Image	Polygon	421.95	298.4	74	74	100	325.14	227593.7	2032.8	Fed	25_24	25	24
24C_F1_2_FITC.tif	PathAnnotationObject		Image	Polygon	436.76	308.32	54	54	100	173.72	310852.8	2229.6	Fed	24_2	24	2
24C_F1_3_FITC.tif	PathAnnotationObject		Image	Polygon	440.83	300.61	58	58	100	190.67	304185.7	2382.2	Fed	24_3	24	3
80G_1_FITC.tif	PathAnnotationObject		Image	Polygon	400.02	304.43	9	9	100	63.9	140849.5	1420.6	Starved	80_28	80	28
36E_3_FITC.tif	PathAnnotationObject		Image	Polygon	427.45	324.81	73	73	100	378.64	192797.7	2052.0	Starved	36_23	36	23
75C_3_FITC.tif	PathAnnotationObject		Image	Polygon	478.59	327.34	61	61	100	367.67	165911.6	1599.9	Fed	75_14	75	14
75C_4_FITC.tif	PathAnnotationObject		Image	Polygon	422.1	353.58	31	31	100	158.21	195942.7	1726.4	Fed	75_15	75	15
60E_1_FITC.tif	PathAnnotationObject		Image	Polygon	405.53	338.51	74	74	100	258.8	285934.8	2316.0	Fed	60_21	60	21
60D_5_FITC.tif	PathAnnotationObject		Image	Polygon	393.61	357.75	37	37	100	185.02	199980.0	1799.1	Fed	60_20	60	20
52D_5_FITC.tif	PathAnnotationObject		Image	Polygon	207.94	170.06	11	11	100	299.42	36737.6	726.6	Fed	52_20	52	20
24E_F1_3_FITC.tif	PathAnnotationObject		Image	Polygon	470.75	296.48	53	53	100	179.0	296085.7	2432.9	Fed	24_5	24	5
24D_F1_4_FITC.tif	PathAnnotationObject		Image	Polygon	464.65	321.68	67	67	100	210.27	318643.3	2306.9	Fed	24_4	24	4
36E_4_FITC.tif	PathAnnotationObject		Image	Polygon	434.47	336.32	133	133	100	545.02	244026.7	2129.1	Starved	36_24	36	24
76B_5_FITC.tif	PathAnnotationObject		Image	Polygon	427.03	296.98	99	99	100	672.47	147218.4	1652.5	Starved	76_9	76	9
76B_4_FITC.tif	PathAnnotationObject		Image	Polygon	449.72	302.57	114	114	100	776.96	146725.7	1595.4	Starved	76_8	76	8
52D_3_FITC.tif	PathAnnotationObject		Image	Polygon	178.89	167.18	21	21	100	568.27	36954.1	731.85	Fed	52_18	52	18
52D_4_FITC.tif	PathAnnotationObject		Image	Polygon	197.58	171.17	21	21	100	607.55	34565.3	758.0	Fed	52_19	52	19
75C_2_FITC.tif	PathAnnotationObject		Image	Polygon	440.69	353.53	44	44	100	222.77	197514.2	1745.7	Fed	75_13	75	13
60D_3_FITC.tif	PathAnnotationObject		Image	Polygon	425.88	333.61	39	39	100	200.6	194417.0	1728.3	Fed	60_18	60	18
90C_1_FITC.tif	PathAnnotationObject		Image	Polygon	426.47	313.25	43	43	100	215.18	199830.3	1794.7	Starved	90_11	90	11
84D_4_FITC.tif	PathAnnotationObject		Image	Polygon	422.52	269.37	37	37	100	244.97	151038.2	1476.5	Starved	84_19	84	19
84D_3_FITC.tif	PathAnnotationObject		Image	Polygon	418.34	326.76	32	32	100	220.78	144940.9	1500.5	Starved	84_18	84	18
85E_5_FITC.tif	PathAnnotationObject		Image	Polygon	494.04	320.45	46	46	100	343.8	133797.4	1595.9	Starved	85_25	85	25
86D_2_FITC.tif	PathAnnotationObject		Image	Polygon	369.69	285.29	137	137	100	871.72	157160.9	1641.8	Starved	86_17	86	17
72D_1_FITC.tif	PathAnnotationObject		Image	Polygon	434.39	325.53	42	42	100	169.85	247283.3	1921.7	Fed	72_16	72	16
24E_F2_3_FITC.tif	PathAnnotationObject		Image	Polygon	442.56	333.92	45	45	100	187.63	239830.4	2012.2	Fed	25_23	25	23
73C_5_FITC.tif	PathAnnotationObject		Image	Polygon	465.71	329.43	49	49	100	279.44	175350.5	1736.4	Fed	73_15	73	15
