old	new
24E_F3_2_FITC.tif	1_2
24C_F1_2_FITC.tif	24_2
24C_F1_3_FITC.tif	24_3
24D_F1_4_FITC.tif	24_4
24E_F1_3_FITC.tif	24_5
24D_F2_3_FITC.tif	25_18
24E_F2_3_FITC.tif	25_23
24E_F2_4_FITC.tif	25_24
35A_2_FITC.tif	35_2
35A_4_FITC.tif	35_4
36B_3_FITC.tif	36_8
36D_3_FITC.tif	36_18
36D_4_FITC.tif	36_19
36E_3_FITC.tif	36_23
36E_4_FITC.tif	36_24
36G_2_FITC.tif	36_32
36H_5_FITC.tif	36_40
52B_2_FITC.tif	52_7
52B_3_FITC.tif	52_8
52B_4_FITC.tif	52_9
52B_5_FITC.tif	52_10
52C_1_FITC.tif	52_11
52C_2_FITC.tif	52_12
52C_3_FITC.tif	52_13
52C_4_FITC.tif	52_14
52C_5_FITC.tif	52_15
52D_1_FITC.tif	52_16
52D_3_FITC.tif	52_18
52D_4_FITC.tif	52_19
52D_5_FITC.tif	52_20
52E_1_FITC.tif	52_21
52E_2_FITC.tif	52_22
52E_3_FITC.tif	52_23
52E_4_FITC.tif	52_24
52E_5_FITC.tif	52_25
52F_1_FITC.tif	52_26
52F_2_FITC.tif	52_27
52F_3_FITC.tif	52_28
52G_2_FITC.tif	52_32
52G_3_FITC.tif	52_33
52G_4_FITC.tif	52_34
52G_5_FITC.tif	52_35
52H_1_FITC.tif	52_36
52H_2_FITC.tif	52_37
52H_3_FITC.tif	52_38
52H_4_FITC.tif	52_39
52H_5_FITC.tif	52_40
52I_1_FITC.tif	52_41
52I_2_FITC.tif	52_42
52I_3_FITC.tif	52_43
52I_4_FITC.tif	52_44
52I_5_FITC.tif	52_45
52J_1_FITC.tif	52_46
52J_2_FITC.tif	52_47
60B_4_FITC.tif	60_9
60C_1_FITC.tif	60_11
60C_2_FITC.tif	60_12
60C_3_FITC.tif	60_13
60C_4_FITC.tif	60_14
60C_5_FITC.tif	60_15
60D_2_FITC.tif	60_17
60D_3_FITC.tif	60_18
60D_5_FITC.tif	60_20
60E_1_FITC.tif	60_21
60E_2_FITC.tif	60_22
60E_3_FITC.tif	60_23
60E_4_FITC.tif	60_24
60E_5_FITC.tif	60_25
60F_1_FITC.tif	60_26
60F_2_FITC.tif	60_27
72A_1_FITC.tif	72_1
72A_2_FITC.tif	72_2
72A_3_FITC.tif	72_3
72A_4_FITC.tif	72_4
72A_5_FITC.tif	72_5
72B_1_FITC.tif	72_6
72B_2_FITC.tif	72_7
72B_3_FITC.tif	72_8
72B_4_FITC.tif	72_9
72B_5_FITC.tif	72_10
72C_1_FITC.tif	72_11
72C_2_FITC.tif	72_12
72C_3_FITC.tif	72_13
72C_4_FITC.tif	72_14
72C_5_FITC.tif	72_15
72D_1_FITC.tif	72_16
72D_2_FITC.tif	72_17
72D_3_FITC.tif	72_18
72D_4_FITC.tif	72_19
72D_5_FITC.tif	72_20
72E_1_FITC.tif	72_21
72E_2_FITC.tif	72_22
72E_3_FITC.tif	72_23
72E_4_FITC.tif	72_24
72E_5_FITC.tif	72_25
72F_1_FITC.tif	72_26
72F_2_FITC.tif	72_27
72F_3_FITC.tif	72_28
72F_4_FITC.tif	72_29
72F_5_FITC.tif	72_30
73A_3_FITC.tif	73_3
73A_4_FITC.tif	73_4
73A_5_FITC.tif	73_5
73B_1_FITC.tif	73_6
73B_2_FITC.tif	73_7
73B_3_FITC.tif	73_8
73B_4_FITC.tif	73_9
73C_1_FITC.tif	73_11
73C_2_FITC.tif	73_12
73C_3_FITC.tif	73_13
73C_4_FITC.tif	73_14
73C_5_FITC.tif	73_15
73D_1_FITC.tif	73_16
73D_2_FITC.tif	73_17
73D_3_FITC.tif	73_18
73D_4_FITC.tif	73_19
73D_5_FITC.tif	73_20
73D_6_FITC.tif	73_21
73E_1_FITC.tif	73_22
73E_2_FITC.tif	73_23
73E_3_FITC.tif	73_24
73E_5_FITC.tif	73_25
73E_6_FITC.tif	73_26
73F_1_FITC.tif	73_27
73F_2_FITC.tif	73_28
73F_3_FITC.tif	73_29
73F_4_FITC.tif	73_30
73F_5_FITC.tif	73_31
73F_6_FITC.tif	73_32
75A_2_FITC.tif	75_2
75A_3_FITC.tif	75_3
75A_4_FITC.tif	75_4
75A_5_FITC.tif	75_5
75B_1_FITC.tif	75_6
75B_2_FITC.tif	75_7
75B_3_FITC.tif	75_8
75B_4_FITC.tif	75_9
75B_5_FITC.tif	75_10
75B_6_FITC.tif	75_11
75C_1_FITC.tif	75_12
75C_2_FITC.tif	75_13
75C_3_FITC.tif	75_14
75C_4_FITC.tif	75_15
75C_5_FITC.tif	75_16
75C_6_FITC.tif	75_17
75D_1_FITC.tif	75_18
75D_2_FITC.tif	75_19
75D_3_FITC.tif	75_20
75D_4_FITC.tif	75_21
75D_5_FITC.tif	75_22
75E_1_FITC.tif	75_23
75E_2_FITC.tif	75_24
75E_3_FITC.tif	75_25
75E_4_FITC.tif	75_26
75E_5_FITC.tif	75_27
75E_6_FITC.tif	75_28
75F_1_FITC.tif	75_29
75F_2_FITC.tif	75_30
75F_3_FITC.tif	75_31
75F_4_FITC.tif	75_32
76A_3_FITC.tif	76_3
76A_4_FITC.tif	76_4
76A_5_FITC.tif	76_5
76A_6_FITC.tif	76_6
76B_1_FITC.tif	76_7
76B_4_FITC.tif	76_8
76B_5_FITC.tif	76_9
76B_6_FITC.tif	76_10
76C_1_FITC.tif	76_11
76C_2_FITC.tif	76_12
76C_3_FITC.tif	76_13
76C_5_FITC.tif	76_14
76D_1_FITC.tif	76_15
76D_2_FITC.tif	76_17
80C_1_FITC.tif	80_11
80C_2_FITC.tif	80_12
80C_3_FITC.tif	80_13
80C_4_FITC.tif	80_14
80C_5_FITC.tif	80_15
80D_1_FITC.tif	80_16
80D_2_FITC.tif	80_17
80G_1_FITC.tif	80_28
84B_1_FITC.tif	84_6
84B_2_FITC.tif	84_7
84B_3_FITC.tif	84_8
84B_4_FITC.tif	84_9
84B_5_FITC.tif	84_10
84C_1_FITC.tif	84_11
84C_2_FITC.tif	84_12
84C_3_FITC.tif	84_13
84C_4_FITC.tif	84_14
84C_5_FITC.tif	84_15
84D_1_FITC.tif	84_16
84D_2_FITC.tif	84_17
84D_3_FITC.tif	84_18
84D_4_FITC.tif	84_19
84D_5_FITC.tif	84_20
84E_1_FITC.tif	84_21
84E_2_FITC.tif	84_22
84E_3_FITC.tif	84_23
84E_4_FITC.tif	84_24
84E_5_FITC.tif	84_25
84F_1_FITC.tif	84_26
84F_2_FITC.tif	84_28
84F_3_FITC.tif	84_29
84F_4_FITC.tif	84_30
84F_5_FITC.tif	84_31
84G_1_FITC.tif	84_32
84G_2_FITC.tif	84_33
84G_3_FITC.tif	84_34
84G_4_FITC.tif	84_35
84G_5_FITC.tif	84_36
85E_1_FITC.tif	85_21
85E_2_FITC.tif	85_22
85E_3_FITC.tif	85_23
85E_4_FITC.tif	85_24
85E_5_FITC.tif	85_25
85F_1_FITC.tif	85_26
85F_2_FITC.tif	85_27
85F_3_FITC.tif	85_28
85F_4_FITC.tif	85_29
85F_5_FITC.tif	85_30
85G_1_FITC.tif	85_31
85G_2_FITC.tif	85_32
85G_3_FITC.tif	85_33
85G_4_FITC.tif	85_34
85G_5_FITC.tif	85_35
85H_1_FITC.tif	85_36
85H_2_FITC.tif	85_37
85H_3_FITC.tif	85_38
85H_4_FITC.tif	85_39
86A_3_FITC.tif	86_3
86A_4_FITC.tif	86_4
86A_5_FITC.tif	86_5
86B_1_FITC.tif	86_6
86C_1_FITC.tif	86_11
86C_2_FITC.tif	86_12
86C_3_FITC.tif	86_13
86C_4_FITC.tif	86_14
86C_5_FITC.tif	86_15
86D_1_FITC.tif	86_16
86D_2_FITC.tif	86_17
86D_3_FITC.tif	86_18
86D_4_FITC.tif	86_19
86D_5_FITC.tif	86_20
86E_1_FITC.tif	86_21
86E_2_FITC.tif	86_22
86E_3_FITC.tif	86_23
86E_4_FITC.tif	86_24
86E_5_FITC.tif	86_25
86F_1_FITC.tif	86_26
86F_2_FITC.tif	86_27
86F_3_FITC.tif	86_28
86F_4_FITC.tif	86_29
86F_6_FITC.tif	86_30
90A_1_FITC.tif	90_1
90A_2_FITC.tif	90_2
90A_3_FITC.tif	90_3
90A_5_FITC.tif	90_5
90B_1_FITC.tif	90_6
90B_2_FITC.tif	90_7
90B_3_FITC.tif	90_8
90B_4_FITC.tif	90_9
90B_5_FITC.tif	90_10
90C_1_FITC.tif	90_11
90C_2_FITC.tif	90_12
90C_3_FITC.tif	90_13
90C_4_FITC.tif	90_14
90C_5_FITC.tif	90_15
90D_1_FITC.tif	90_16
90D_2_FITC.tif	90_17
90D_3_FITC.tif	90_18
90D_4_FITC.tif	90_19
90D_5_FITC.tif	90_20
90E_1_FITC.tif	90_21
90E_2_FITC.tif	90_22
90E_3_FITC.tif	90_23
90E_4_FITC.tif	90_24
90E_5_FITC.tif	90_25
90F_1_FITC.tif	90_26
90F_2_FITC.tif	90_27
90F_3_FITC.tif	90_28
